帧,时间,播放,评论,同时人数,同时人数不带加号,点赞,投币,收藏,转发
3402546,2024-08-20T13:38:28+08:00,319.2,2.1,2000+,2000,29.9,30.9,11.3,4.6
2034185,2024-08-20T07:18:22+08:00,272.3,1.8,1000+,1000,27.5,28.6,10.5,4.3
2513113,2024-08-20T09:31:24+08:00,292.1,1.9,2000+,2000,28.4,29.4,10.8,4.4
1573268,2024-08-20T05:10:20+08:00,266.3,1.8,937,937,27.3,28.3,10.4,4.3
3301720,2024-08-20T13:10:28+08:00,316.4,2.0,3000+,3000,29.8,30.7,11.2,4.6
1717306,2024-08-20T05:50:21+08:00,267.1,1.8,1000+,1000,27.3,28.4,10.4,4.3
3319725,2024-08-20T13:15:28+08:00,316.9,2.0,3000+,3000,29.8,30.8,11.3,4.6
4554848,2024-08-20T18:58:33+08:00,339.1,2.2,3000+,3000,31.0,32.1,11.7,4.7
546997,2024-08-20T00:25:16+08:00,255.0,1.7,3000+,3000,26.5,27.3,10.1,4.2
4749298,2024-08-20T19:52:34+08:00,342.4,2.2,3000+,3000,31.2,32.3,11.8,4.8
3380942,2024-08-20T13:32:28+08:00,318.6,2.0,2000+,2000,29.9,30.9,11.3,4.6
4093927,2024-08-20T16:50:31+08:00,331.4,2.1,2000+,2000,30.6,31.6,11.6,4.7
3456561,2024-08-20T13:53:28+08:00,320.5,2.1,2000+,2000,30.0,31.0,11.3,4.6
3651011,2024-08-20T14:47:29+08:00,324.5,2.1,2000+,2000,30.2,31.2,11.4,4.6
2797587,2024-08-20T10:50:25+08:00,301.5,2.0,2000+,2000,28.9,29.9,10.9,4.5
4601661,2024-08-20T19:11:33+08:00,339.9,2.2,3000+,3000,31.1,32.2,11.8,4.7
716243,2024-08-20T01:12:16+08:00,258.7,1.8,2000+,2000,26.8,27.7,10.2,4.2
4324388,2024-08-20T17:54:32+08:00,334.9,2.1,2000+,2000,30.8,31.9,11.7,4.7
2826395,2024-08-20T10:58:26+08:00,302.3,2.0,2000+,2000,29.0,29.9,11.0,4.5
4616063,2024-08-20T19:15:33+08:00,340.1,2.2,2000+,2000,31.1,32.2,11.8,4.7
5210220,2024-08-20T22:00:36+08:00,351.4,2.3,3000+,3000,31.7,32.9,12.0,4.8
3056856,2024-08-20T12:02:27+08:00,308.0,2.0,2000+,2000,29.3,30.2,11.1,4.5
2567127,2024-08-20T09:46:24+08:00,294.1,1.9,2000+,2000,28.5,29.5,10.8,4.4
1933362,2024-08-20T06:50:22+08:00,269.8,1.8,1000+,1000,27.4,28.5,10.5,4.3
3110869,2024-08-20T12:17:27+08:00,310.0,2.0,3000+,3000,29.4,30.3,11.1,4.5
3366535,2024-08-20T13:28:28+08:00,318.2,2.0,3000+,3000,29.9,30.9,11.3,4.6
1213173,2024-08-20T03:30:19+08:00,264.4,1.8,1000+,1000,27.2,28.2,10.4,4.3
4760102,2024-08-20T19:55:34+08:00,342.5,2.2,3000+,3000,31.2,32.4,11.8,4.8
3416950,2024-08-20T13:42:28+08:00,319.5,2.1,2000+,2000,29.9,30.9,11.3,4.6
2793985,2024-08-20T10:49:25+08:00,301.5,1.9,2000+,2000,28.9,29.9,10.9,4.5
788261,2024-08-20T01:32:17+08:00,259.9,1.8,2000+,2000,26.9,27.8,10.3,4.3
3791449,2024-08-20T15:26:30+08:00,326.8,2.1,2000+,2000,30.3,31.4,11.5,4.6
75274,2024-08-19T22:14:14+08:00,234.2,1.6,5000+,5000,25.1,25.8,9.6,4.0
3863468,2024-08-20T15:46:30+08:00,328.0,2.1,2000+,2000,30.4,31.4,11.5,4.6
381356,2024-08-19T23:39:15+08:00,249.1,1.7,5000+,5000,26.1,26.8,9.9,4.2
2574329,2024-08-20T09:48:24+08:00,294.4,1.9,2000+,2000,28.5,29.5,10.8,4.4
752252,2024-08-20T01:22:17+08:00,259.3,1.8,2000+,2000,26.8,27.7,10.2,4.3
